Song,,Constant,Level,Note Count,Difficulty,Song ID,Notes
IF,イフ,30.2,APD 29,1270,Append,211,
Coral,箱庭のコラル,30.2,APD 29,1220,Append,324,
Awake Now,Awake Now,30.1,30,884,Master,244,
Imasugu Rinne,いますぐ輪廻,30.1,30,940,Master,733,
The Vampire,ヴァンパイア,30.1,30,1299,Master,213,
Venus,ヴィーナス,30.1,30,1266,Master,663,
Cat Loving,キャットラビング,30.1,30,1053,Master,491,
Goodbye heaven,サヨナラ天国また来て地獄,30.1,30,864,Master,649,
Dameningenda!,だめにんげんだ!,30.1,30,976,Master,482,
Retainer Supplanting His Lord,下剋上,30.1,30,1245,Master,373,
"Maku o Orosou, Parade e",幕を下ろそう、パレードへ,30.1,30,875,Master,718,
spring storm,春嵐,30.1,30,1184,Master,392,
"Can't Defeat ""Take No Notice Boys""",難聴系男子が倒せない,30.1,30,1234,Master,341,
i DO what i WANT,,30.1,30,948,Master,657,
NAKAKAPAGPABAGABAG,,30.1,30,1124,Master,563,
Yuugen no Ran,幽玄ノ乱,30.1,30,1354,Expert,708,
ECHO,ECHO,30.1,APD 29,1102,Append,100,
MOTTO!!!,MOTTO!!!,30.1,APD 29,1225,Append,405,
Gunjo Sanka,群青讃歌,30.1,APD 29,1254,Append,141,
Mischievous Function,おちゃめ機能,30.0,30,1171,Master,480,
Noda,のだ,30.0,30,927,Master,558,
Waraetara Ee Yan!,笑えたらえーやん！,30.0,30,1090,Master,637,
Mahou Shoujo to Chocolate,魔法少女とチョコレゐト,30.0,30,930,Master,700,
MarbleBlue.,MarbleBlue.,30.0,30,1437,Expert,449,
Awake Now,Awake Now,30.0,APD 29,1049,Append,244,
Worldwide Wander,ワールドワイドワンダー,30.0,APD 29,817,Append,193,
YY,YY,29.9,29+,1175,Master,266,
Night Sky Patrol of Tomorrow,アスノヨゾラ哨戒班,29.9,29+,1208,Master,18,
Red Land Marker,レッドランドマーカー,29.9,29+,1105,Master,462,
Lost and Found,ロストエンファウンド,29.9,29+,1271,Master,226,
"Ah, It's A Wonderful Cat Life",嗚呼、素晴らしきニャン生,29.9,29+,1374,Master,346,
Good Weather,快晴,29.9,29+,1533,Master,323,
Sekai-Chan and Kafu-Chan's Otsukai Gassoukyoku,星界ちゃんと可不ちゃんのおつかい合騒曲,29.9,29+,1491,Expert,328,
Sympathy,Sympathy,29.9,APD 29,1043,Append,605,
Mikumiku Ni Shiteageru [Shiteyanyo],みくみくにしてあげる♪【してやんよ】,29.9,APD 29,1039,Append,124,
88☆彡,88☆彡,29.8,29+,1188,Master,224,
drop pop candy,drop pop candy,29.8,29+,902,Master,15,
PaⅢ.SENSATION,PaⅢ.SENSATION,29.8,29+,1244,Master,195,
Jack Pot Sad Girl,ジャックポットサッドガール,29.8,29+,767,Master,62,
Snowman,スノーマン,29.8,29+,1243,Master,343,
I want to be your heart,だれかの心臓になれたなら,29.8,29+,1044,Master,152,
Bocca della Verità,ボッカデラベリタ,29.8,29+,1119,Master,125,
The Snow White Princess is...,白い雪のプリンセスは,29.8,29+,1478,Master,355,
Six Trillion Years and Overnight Story,六兆年と一夜物語,29.8,29+,1099,Expert,135,
Be The MUSIC!,Be The MUSIC!,29.7,29+,1247,Master,336,
Hello Builder,Hello Builder,29.7,29+,997,Master,387,
SToRY,SToRY,29.7,29+,784,Master,574,
I'm Mine,アイムマイン,29.7,29+,1189,Master,368,
AttaKAITO,あったかいと,29.7,29+,1376,Master,271,
As You Like It,お気に召すまま,29.7,29+,988,Master,106,
Cendrillon 10th Anniversary,サンドリヨン 10th Anniversary,29.7,29+,913,Master,104,
Cinema,シネマ,29.7,29+,800,Master,126,
DONUT HOLE 2024,ドーナツホール 2024,29.7,29+,1328,Master,220,
Literary nonsense,ナンセンス文学,29.7,29+,1180,Master,158,
NIJIIRO STORIES,ニジイロストーリーズ,29.7,29+,1054,Master,103,
filament fever,フィラメントフィーバー,29.7,29+,952,Master,397,
phony,フォニイ,29.7,29+,1244,Master,277,
Marionette Dancer,マリオネットダンサー,29.7,29+,1030,Master,639,
Amanojaku,天ノ弱,29.7,29+,1131,Master,289,
Tengaku,天樂,29.7,29+,1554,Master,372,
Musunde Hiraite Rasetsu To Mukuro,結ンデ開イテ羅刹ト骸,29.7,29+,903,Master,567,
ROKI,ロキ,29.7,APD 28,1040,Append,2,
Bad ∞ End ∞ Night,Bad ∞ End ∞ Night,29.6,29+,1018,Master,278,
Bad Apple!! feat.SEKAI,Bad Apple!! feat.SEKAI,29.6,29+,1181,Master,501,
Booo!,Booo!,29.6,29+,860,Master,320,
DAYBREAK FRONTLINE,DAYBREAK FRONTLINE,29.6,29+,1179,Master,253,
Gimme×Gimme,Gimme×Gimme,29.6,29+,907,Master,83,
"Hello,world!","Hello,world!",29.6,29+,949,Master,184,
Henceforth,Henceforth,29.6,29+,1057,Master,484,
needLe,needLe,29.6,29+,1029,Master,63,
ODDS&ENDS,ODDS＆ENDS,29.6,29+,921,Master,117,
QUEEN,QUEEN,29.6,29+,1385,Master,506,
Ready Steady,Ready Steady,29.6,29+,667,Master,54,
Do not go,いかないで,29.6,29+,1173,Master,120,
villain,ヴィラン,29.6,29+,1154,Master,170,
Alien Alien,エイリアンエイリアン,29.6,29+,1361,Master,246,
Cutlery,カトラリー,29.6,29+,806,Master,111,
Call Boy,コールボーイ,29.6,29+,836,Master,505,
Sono Oto ga Narunara,その音が鳴るなら,29.6,29+,958,Master,546,
Bless Your Breath,ブレス・ユア・ブレス,29.6,29+,873,Master,72,
Venom,ベノム,29.6,29+,1138,Master,145,
merry-go-round,メリーゴーラウンド,29.6,29+,1024,Master,517,
Mozaik Role (Reloaded),モザイクロール (Reloaded),29.6,29+,876,Master,477,
ROKI,ロキ,29.6,29+,975,Master,2,
Wah Wah World,ワーワーワールド,29.6,29+,960,Master,77,
Yoshiwara Lament second edition,吉原ラメント 再来盤,29.6,29+,1108,Master,591,
Namo Naki Kakumei,名も無き革命,29.6,29+,1099,Master,359,
FAILURE GIRL,失敗作少女,29.6,29+,986,Master,510,
Kibou no tsuki,幾望の月,29.6,29+,998,Master,456,
Hoshizora Orchestra,星空オーケストラ,29.6,29+,1159,Master,282,
God-ish,神っぽいな,29.6,29+,1162,Master,385,
Shuuen Touhikou,終焉逃避行,29.6,29+,816,Master,547,
Odo,踊,29.6,29+,1083,Master,205,
「１」,「１」,29.6,APD 28,1001,Append,132,
Fire◎Flower (Rerec),Fire◎Flower (Rerec),29.5,29,863,Master,536,
Journey,Journey,29.5,29,1322,Master,235,
Becoming Potatoes,potatoになっていく,29.5,29,863,Master,52,
AI,アイ,29.5,29,959,Master,616,
Cantarella,カンタレラ,29.5,29,1063,Master,296,
City Lights,シティライツ,29.5,29,943,Master,791,
"Even so, It's OK",それでもいいんだよ,29.5,29,1009,Master,274,
Viva Happy,ビバハピ,29.5,29,722,Master,11,
Marshmary,マシュマリー,29.5,29,1303,Master,157,
Main Character,メインキャラクター,29.5,29,1043,Master,541,
Lapse,ラプス,29.5,29,1081,Master,758,
lily-lala,リリィララ,29.5,29,903,Master,655,
Regulus,レグルス,29.5,29,1014,Master,423,
Kugutsu no Utsutsu,傀儡のうつつ,29.5,29,888,Master,735,
Kiss the Villain,悪役にキスシーンを,29.5,29,1188,Master,377,
Moonlight,月光,29.5,29,1159,Master,239,
HANAOBORE,花溺れ,29.5,29,895,Master,557,
Transparent Palette,透明なパレット,29.5,29,1027,Master,646,
Birthright Syndrome,生命性シンドロウム,29.5,29,1299,Expert,543,
Our True Story,ありのままのストーリーを,29.5,APD 28,1178,Append,635,
Charles,シャルル,29.5,APD 28,1000,Append,19,
Beat Eater,Beat Eater,29.4,29,798,Master,156,
DREAM PLACE,DREAM PLACE,29.4,29,1172,Master,252,
Leia - Remind,Leia - Remind,29.4,29,1155,Master,85,
Newly Edgy Idols,アイドル新鋭隊,29.4,29,940,Master,57,
AI no UTA,あいのうた,29.4,29,1064,Master,467,
Colorful Foundation,カラフルファンデーション,29.4,29,1091,Master,683,
This Silly Wonderful World Exists For Me,このふざけた素晴らしき世界は、僕の為にある,29.4,29,1093,Master,625,
Super Hero,スーパーヒーロー,29.4,29,909,Master,495,
The World Hasn't Even Started Yet,セカイはまだ始まってすらいない,29.4,29,1027,Master,51,
(Not) A Devil,デビルじゃないもん,29.4,29,879,Master,412,
De Los Santos,デロスサントス,29.4,29,936,Master,794,
Hao,ハオ,29.4,29,1202,Master,724,
Propose,プロポーズ,29.4,29,1116,Master,734,
Melt,メルト,29.4,29,1586,Master,47,
Monitoring,モニタリング,29.4,29,973,Master,628,
Realize,リアライズ,29.4,29,851,Master,356,
KISARAGI ATTENTION,如月アテンション,29.4,29,1155,Master,511,
Evil Food Eater Conchita,悪食娘コンチータ,29.4,29,851,Master,349,
Cellphone Love Story,携帯恋話,29.4,29,1131,Master,61,
Deep sea city under ground,深海シティアンダーグラウンド,29.4,29,1162,Master,645,
At God's Mercy,神のまにまに,29.4,29,1111,Master,201,
Kuusou Forest,空想フォレスト,29.4,29,925,Master,753,
Hanamusubi,花結び,29.4,29,1106,Master,695,
Kusari no Shoujo -Re Alive-,鎖の少女-Re Alive-,29.4,29,1029,Master,698,
ANiMA,ANiMA,29.4,29,1059,Expert,745,
Fragile,フラジール,29.4,APD 28,999,Append,69,
39,39,29.3,29,1339,Master,331,
"*Hello, Planet",＊ハロー、プラネット。,29.3,29,1076,Master,118,
About me,About me,29.3,29,1011,Master,643,
Flyer!,Flyer!,29.3,29,1083,Master,182,
FUN!!,FUN!!,29.3,29,744,Master,575,
Miku,Miku,29.3,29,1106,Master,153,
p.h.,p.h.,29.3,29,872,Master,297,
Anata Shika Mienai no,あなたしか見えないの,29.3,29,972,Master,682,
Otsukimi Recital,オツキミリサイタル,29.3,29,1104,Master,764,
Kuu Ni Naru,くうになる,29.3,29,945,Master,417,
Star Night Snow,スターナイトスノウ,29.3,29,914,Master,614,
Telecaster b boy,テレキャスタービーボーイ,29.3,29,898,Master,134,
It was a very nice June,とても素敵な六月でした,29.3,29,1491,Master,340,
Dramaturgy,ドラマツルギー,29.3,29,862,Master,91,
Hashiru! Tooku! Todoku!,はしる! とおく! とどく!,29.3,29,957,Master,498,
FUEL,フューエル,29.3,29,930,Master,478,
Love Ka?,ラブカ？,29.3,29,878,Master,260,
Luka Luka★Night Fever,ルカルカ★ナイトフィーバー,29.3,29,1311,Master,216,
The World is Mine,ワールドイズマイン,29.3,29,1417,Master,48,
nisemononingen40gou,偽物人間40号,29.3,29,823,Master,571,
Hikari,光,29.3,29,853,Master,754,
Love! Snow! Really Magic,好き！雪！本気マジック,29.3,29,1060,Master,611,
"A Glimmer, 1/f fluctuation",幽光、1/fのゆらめき,29.3,29,877,Master,427,
hot wind,熱風,29.3,29,925,Master,489,
Mx.Nihil,虚無さん,29.3,29,899,Master,540,
Reincarnation Apple,転生林檎,29.3,29,879,Master,533,
Touka Suru Ondo,透過する温度,29.3,29,754,Master,716,
Aun no Beats,阿吽のビーツ,29.3,29,918,Master,245,
Beat Eater,Beat Eater,29.3,APD 28,852,Append,156,
SEKAI,セカイ,29.3,APD 28,945,Append,76,
Double Lariat,ダブルラリアット,29.3,APD 28,1207,Append,256,
Blue Star,Blue Star,29.2,29,1163,Master,342,
CRASH THE PARTY,CRASH THE PARTY,29.2,29,1135,Master,679,
erase or zero,erase or zero,29.2,29,991,Master,693,
Flyway,Flyway,29.2,29,1088,Master,310,
Nostalogic,Nostalogic,29.2,29,985,Master,13,
Surges,Surges,29.2,29,1043,Master,632,
EYELID,アイリッド,29.2,29,960,Master,560,
Empurple,エンパープル,29.2,29,877,Master,507,
Odorobo,おどロボ,29.2,29,1339,Master,461,
Star,スター,29.2,29,889,Master,570,
Tobidase! Wandapyoi,とびだせ！わんだぴょい,29.2,29,1064,Master,660,
Dream Kiss,ドリーム・キス,29.2,29,795,Master,696,
Balleriko,バレリーコ,29.2,29,1115,Master,589,
Fire Dance,ファイアダンス,29.2,29,680,Master,576,
manimani,まにまに,29.2,29,1014,Master,401,
Musekinin Shuugoutai,㋰責任集合体,29.2,29,937,Master,667,
Remote Control,リモコン,29.2,29,1206,Master,146,
When First Love Ends,初めての恋が終わる時,29.2,29,995,Master,407,
Karma,,29.2,29,1015,Master,599,
Thousand Little Voices,,29.2,29,1072,Master,528,
THE END OF HATSUNE MIKU -Gekijouban-,初音ミクの消失−劇場版−,29.2,29,918,Expert,709,
Hand in Hand,Hand in Hand,29.2,APD 28,1020,Append,44,
FREELY TOMORROW,FREELY TOMORROW,29.1,29,1121,Master,313,
A Word,アコトバ,29.1,29,857,Master,483,
Electric Angel,えれくとりっく・えんじぇぅ,29.1,29,1176,Master,454,
TETORIS,テトリス,29.1,29,814,Master,627,
How-to Sekai Seifuku,ハウトゥー世界征服,29.1,29,935,Master,672,
hug,はぐ,29.1,29,983,Master,429,
Wakusei Loop,惑星ループ,29.1,29,1018,Master,690,
The sound about petals,花弁、それにまつわる音声,29.1,29,952,Master,638,
Osmanthus,金木犀,29.1,29,899,Master,418,
Rain and Petra,雨とペトラ,29.1,29,1206,Master,210,
FAKE HEART,,29.1,29,918,Master,514,
MikuFiesta,,29.1,29,1002,Master,479,
Sage,Sage,29.1,29,1259,Expert,448,
Heart Forecast,心予報,29.1,APD 28,1318,Append,188,
Wakusei Loop,惑星ループ,29.1,APD 28,1171,Append,690,
Cool Me Down,Cool Me Down,29.0,29,1250,Master,425,
NEO,NEO,29.0,29,988,Master,366,
UNDERWATER,UNDERWATER,29.0,29,1062,Master,363,
Aria,アリア,29.0,29,627,Master,720,
Marshall Maximizer,マーシャル・マキシマイザー,29.0,29,895,Master,410,
Ramune,ラムネ,29.0,29,1018,Master,702,
Just 1dB Louder,,29.0,29,792,Master,568,
sweety glitch,,29.0,29,1063,Master,371,
Kashika,仮死化,29.0,APD 28,1328,Append,267,
Irony,アイロニ,28.9,28+,943,Master,293,
kokoro,ココロ,28.9,28+,1090,Master,312,
My Palette is Full of You,パレットには君がいっぱい,28.9,28+,966,Master,214,
Tenshi no Tsubasa。,天使の翼。,28.9,28+,1340,Master,326,
Imperial Girl,帝国少女,28.9,28+,1178,Master,262,
Brand New Day,Brand New Day,28.9,28+,1260,Expert,128,
Hatsune Creation Myth,初音天地開闢神話,28.9,28+,1581,Expert,186,
KING,KING,28.9,APD 28,1388,Append,138,
Forward,Forward,28.8,28+,895,Master,55,
Supernova,Supernova,28.8,28+,890,Master,457,
Totemoitai Itagaritai,とても痛い痛がりたい,28.8,28+,915,Master,94,
Traffic jam,トラフィック・ジャム,28.8,28+,1089,Master,143,
Heart Forecast,心予報,28.8,28+,1060,Master,188,
We are the Stain Busters!,我らステインバスターズ！,28.8,28+,810,Master,400,
Twilight Light,トワイライトライト,28.8,APD 27,754,Append,384,
Bokuno Kamisama,ぼくのかみさま,28.8,APD 27,989,Append,548,
1925,1925,28.7,28+,1117,Master,306,
Color of Drops,Color of Drops,28.7,28+,918,Master,89,
Un-Lock,Un-Lock,28.7,28+,1096,Master,393,
Cat Food,キャットフード,28.7,28+,1107,Master,530,
Tricologe,トリコロージュ,28.7,28+,999,Master,203,
"Hello, SEKAI",ハローセカイ,28.7,28+,759,Master,578,
Hibikase,ヒビカセ,28.7,28+,1019,Master,109,
Fragile,フラジール,28.7,28+,1040,Master,69,
Mind Brand,マインドブランド,28.7,28+,1023,Master,473,
Otome Dissection,乙女解剖,28.7,28+,1002,Master,92,
It's just life,命ばっかり,28.7,28+,1092,Master,352,
Yuke,征け,28.7,28+,825,Master,600,
"Love Me, Love Me, Love Me",愛して愛して愛して,28.7,28+,1173,Master,181,
Weigh anchor,抜錨,28.7,28+,954,Master,458,
Dance orchestra,踊れオーケストラ,28.7,28+,1068,Master,240,
Hoshi wo Tsunagu,星を繋ぐ,28.7,APD 27,1035,Append,375,
Call!!,Call!!,28.6,28+,765,Master,594,
Peaky Peaky,Peaky Peaky,28.6,28+,855,Master,207,
purpose,purpose,28.6,28+,812,Master,383,
WAVE,WAVE,28.6,28+,837,Master,522,
Airhead,ガランド,28.6,28+,943,Master,200,
Kono Manma de Ikou,このまんまでいこう,28.6,28+,941,Master,642,
Judas,ジウダス,28.6,28+,898,Master,215,
TOKIO FUNKA,トキヲ・ファンカ,28.6,28+,859,Master,150,
One Sheep,ひつじがいっぴき,28.6,28+,1305,Master,316,
Worldwide Wander,ワールドワイドワンダー,28.6,28+,785,Master,193,
Ifuudoudou,威風堂々,28.6,28+,1166,Master,95,
Koufukukei,幸福刑,28.6,28+,907,Master,630,
Hidamari no Setsuna,陽だまりのセツナ,28.6,28+,1105,Master,314,
Can't Make A Song!!,,28.6,28+,1105,Master,459,
ÅMARA(The Great Intelligence),ÅMARA(大未来電脳),28.6,28+,1342,Expert,285,
Our 16bit Wars,ぼくらの16bit戦争,28.6,28+,1379,Expert,249,
Supernova,Supernova,28.6,APD 27,1016,Append,457,
CRAZY,CR詠ZY,28.5,28,728,Master,421,
Dear,Dear,28.5,28,1233,Master,390,
JUMPIN' OVER !,JUMPIN’ OVER !,28.5,28,863,Master,422,
Usseewa,うっせぇわ,28.5,28,1302,Master,204,
Tale of the Deep-sea Lily,ウミユリ海底譚,28.5,28,833,Master,75,
This is the Happiness and Peace of Mind Committee,こちら、幸福安心委員会です。,28.5,28,1096,Master,279,
Summertime Record,サマータイムレコード,28.5,28,1404,Master,395,
Smile Symphony,スマイル*シンフォニー,28.5,28,667,Master,577,
Getting Faster and Faster,だんだん早くなる,28.5,28,918,Master,485,
Dreamer's Beat,ドリーマーズビート,28.5,28,772,Master,743,
Happy Synthesizer,ハッピーシンセサイザ,28.5,28,1136,Master,10,
Hedgehog,ヘッジホッグ,28.5,28,1133,Master,710,
Natsuyo No Uta,夏夜ノ唄,28.5,28,787,Master,519,
yomosugara kimi omou,夜もすがら君想ふ,28.5,28,1190,Master,255,
Shinpaku Pairing,心拍ペアリング,28.5,28,696,Master,382,
The Transient Apple Salesgirl,林檎売りの泡沫少女,28.5,28,1048,Master,443,
Becoming Pigs Yeah Yeah,豚になってyeah yeah,28.5,28,778,Master,325,
Last of Me,,28.5,28,1191,Master,598,
MONSTER,,28.5,28,1046,Master,640,
HIBANA -Reloaded-,ヒバナ -Reloaded-,28.5,28,808,Expert,6,
Shoujo Rei,少女レイ,28.5,APD 27,1300,Append,169,
"""Hmm,Ah,Ah.""",『んっあっあっ。』,28.4,28,1071,Master,430,
Saika,Saika,28.4,28,987,Master,748,
shake it!,shake it!,28.4,28,985,Master,550,
Unpoison,Unpoison,28.4,28,897,Master,527,
IDSMILE,アイディスマイル,28.4,28,1247,Master,116,
Anti you,アンチユー,28.4,28,820,Master,582,
Integral,インテグラル,28.4,28,868,Master,424,
The Future of Beginning,はじまりの未来,28.4,28,1111,Master,573,
Hanataba,ハナタバ,28.4,28,938,Master,759,
Bokuno Kamisama,ぼくのかみさま,28.4,28,876,Master,548,
Bottle Cake,ボトルケーキ,28.4,28,759,Master,394,
Mikumiku Ni Shiteageru [Shiteyanyo],みくみくにしてあげる♪【してやんよ】,28.4,28,939,Master,124,
Rumor,ルーマー,28.4,28,1015,Master,490,
Romeo & Cinderella,ロミオとシンデレラ,28.4,28,1035,Master,121,
Kashika,仮死化,28.4,28,1186,Master,267,
We're Still Underground,僕らまだアンダーグラウンド,28.4,28,1035,Master,208,
Kosho Yashiki Satsujin Jiken,古書屋敷殺人事件,28.4,28,974,Master,436,
Round off the Square Earth,四角い地球を丸くする,28.4,28,1097,Master,615,
"Tenbin, Yubisaki de Furete",天秤、指先で触れて,28.4,28,1012,Master,789,
Love Trial,恋愛裁判,28.4,28,1149,Master,87,
Yoidore Shirazu,酔いどれ知らず,28.4,28,1048,Master,441,
Before the Snow Melts.,雪がとける前に,28.4,28,773,Master,613,
New Worlds,,28.4,28,1201,Master,673,
Haikei Doppelganger,拝啓ドッペルゲンガー,28.4,28,1368,Expert,175,
Denkoh Sekka,電光刹歌,28.4,28,1086,Expert,685,
I'm Mine,アイムマイン,28.4,APD 26,1245,Append,368,
The Vampire,ヴァンパイア,28.4,APD 27,1433,Append,213,
39Music!,39みゅーじっく！,28.3,28,1039,Master,45,
Beyond the way,Beyond the way,28.3,28,900,Master,398,
CH4NGE,CH4NGE,28.3,28,1101,Master,513,
Change me,Change me,28.3,28,1247,Master,265,
Gimme more!,Gimme more!,28.3,28,834,Master,756,
LEADER,LEADER,28.3,28,940,Master,460,
ULTRA C,ULTRA C,28.3,28,769,Master,471,
That Summer Saturates,あの夏が飽和する。,28.3,28,789,Master,650,
culture,カルチャ,28.3,28,1037,Master,529,
DOKUZU,ド屑,28.3,28,817,Master,455,
Mirai,ミライ,28.3,28,1281,Master,180,
Step for a Crescent,三日月ステップ,28.3,28,969,Master,580,
The Tailor of Enbizaka,円尾坂の仕立屋,28.3,28,1007,Master,347,
Waltz of the Deceased,去り人達のワルツ,28.3,28,798,Master,192,
Pure Summer,夏に透明,28.3,28,788,Master,565,
Solar System Disco,太陽系デスコ,28.3,28,1188,Master,360,
Kyo-Fu All Back,強風オールバック,28.3,28,955,Master,432,
Clear and Serene,明鏡止水,28.3,28,938,Master,481,
Hoshi ni Ichiban Chikai Basho,星に一番近い場所,28.3,28,1073,Master,681,
Uka,羽歌,28.3,28,859,Master,740,
Kindokei,金時計,28.3,28,830,Master,678,
TREASURE GARDEN,トレジャーガーデン,28.3,28,1381,Expert,686,
Colorful Marine Snow,君色マリンスノウ,28.3,28,1339,Expert,206,
Chou Saishuu Kichiku Imouto Flandre S,超最終鬼畜妹フランドール・Ｓ,28.3,28,1175,Expert,503,
Goodbye Declaration,グッバイ宣言,28.3,APD 27,1233,Append,198,
8.32,8.32,28.2,28,832,Master,629,
Hand in Hand,Hand in Hand,28.2,28,1072,Master,44,
"Hello, Worker","Hello, Worker",28.2,28,918,Master,286,
Just Be Friends,Just Be Friends,28.2,28,989,Master,27,
Q,Q,28.2,28,998,Master,202,
Twilight Melody,Twilight Melody,28.2,28,1128,Master,445,
Our True Story,ありのままのストーリーを,28.2,28,938,Master,635,
"1, 2, FanClub",いーあるふぁんくらぶ,28.2,28,1002,Master,174,
Envy Baby,エンヴィーベイビー,28.2,28,1251,Master,402,
TEARS OF GARNET,ガーネットの涙,28.2,28,904,Master,466,
Resonance Between You and Me.,きみとぼくのレゾナンス,28.2,28,1115,Master,523,
Kyou mo harebare,きょうもハレバレ,28.2,28,1033,Master,493,
Patchwork Staccato,ツギハギスタッカート,28.2,28,861,Master,71,
paradichlorobenzene,パラジクロロベンゼン,28.2,28,1063,Master,275,
Fighter,ファイター,28.2,28,826,Master,684,
From Tokyo,フロムトーキョー,28.2,28,814,Master,130,
Lucky☆Orb,ラッキー☆オーブ,28.2,28,919,Master,415,
once upon a dream,ワンスアポンアドリーム,28.2,28,871,Master,105,
Jougen no Tsuki,上弦の月,28.2,28,791,Master,658,
Sekai no Arukikata,世界の歩き方,28.2,28,780,Master,739,
Voice of The Beam,光線歌,28.2,28,889,Master,634,
Uninterrupted Indigo,絶え間なく藍色,28.2,28,1089,Master,322,
ELECTRIC WEEKEND ZONE,,28.2,28,957,Master,602,
IMAWANOKIWA,IMAWANOKIWA,28.2,28,1256,Expert,584,
Internet Junk Junkie,Internet Junk Junkie,28.2,28,1105,Expert,697,
Invisible,インビジブル,28.2,28,1385,Expert,284,
Planet Hero,プラネットヒーロー,28.2,28,1128,Expert,588,
Tenran no Ice Heaven,天藍のアイスヘヴン,28.2,28,1228,Expert,732,
Tokyo Teddy Bear,東京テディベア,28.2,28,1172,Expert,396,
Do not go,いかないで,28.2,APD 27,1212,Append,120,
Kokuhaku,告白,28.2,APD 27,729,Append,662,
living millennium,1000年生きてる,28.1,28,757,Master,434,
Highlight,Highlight,28.1,28,690,Master,263,
Snow Fairy Story,Snow Fairy Story,28.1,28,902,Master,612,
Sympathy,Sympathy,28.1,28,860,Master,605,
Wonder Style,Wonder Style,28.1,28,1013,Master,362,
Worlders,Worlders,28.1,28,1060,Master,579,
saihate,サイハテ,28.1,28,999,Master,556,
Charles,シャルル,28.1,28,824,Master,19,
STROBE LAST,ストロボラスト,28.1,28,866,Master,305,
Hide and Seek,ハイドアンド・シーク,28.1,28,898,Master,438,
Lustrous,ラストラス,28.1,28,1331,Master,654,
Judgement of Corruption,悪徳のジャッジメント,28.1,28,983,Master,348,
Hoshi wo Tsunagu,星を繋ぐ,28.1,28,821,Master,375,
Sanity Krush,SAN値直葬,28.1,28,1365,Expert,647,
Brain Fluid Explosion Girl,脳漿炸裂ガール,28.1,28,1349,Expert,229,
Engeki,演劇,28.0,28,984,Master,345,
I'm the Rain,私は雨,28.0,28,918,Master,492,
Hananikaze,花に風,28.0,28,960,Master,537,
M@GICAL☆CURE! LOVE ♥ SHOT!,M@GICAL☆CURE! LOVE ♥ SHOT!,28.0,28,980,Expert,552,
kitty,キティ,28.0,28,982,Expert,353,
39Music!,39みゅーじっく！,28.0,APD 27,1039,Append,45,
once upon a dream,ワンスアポンアドリーム,28.0,APD 28,1054,Append,105,
icedrop,アイスドロップ,27.9,27+,802,Master,140,
Ghost City Tokyo,幽霊東京,27.9,27+,1053,Master,102,
Kagerou Daze,カゲロウデイズ,27.9,27+,1295,Expert,171,
Teo,テオ,27.9,27+,997,Expert,3,
FUTURE EVE,フューチャー・イヴ,27.9,27+,1462,Expert,273,
Chou Night of Knights,超ナイト・オブ・ナイツ,27.9,27+,1201,Expert,622,
Color of Drops,Color of Drops,27.9,APD 26,1028,Append,89,
Sweet Magic,スイートマジック,27.8,27+,1224,Master,41,
SEKAI,セカイ,27.8,27+,858,Master,76,
Roshin Yuukai (meltdown),炉心融解,27.8,27+,1167,Master,179,
SnowMix♪,SnowMix♪,27.8,27+,1321,Expert,327,
Greenlights Serenade,グリーンライツ・セレナーデ,27.8,27+,1034,Expert,46,
Children Record,チルドレンレコード,27.8,27+,1234,Expert,136,
Tondemo-Wonderz,トンデモワンダーズ,27.8,27+,1122,Expert,127,
NEXT NEST,ネクストネスト,27.8,27+,983,Expert,43,
Kimi ga Tobioriru no Nara,君が飛び降りるのならば,27.8,27+,970,Expert,641,
Time Machine,タイムマシン,27.7,27+,903,Master,8,
dreamin chuchu,どりーみんチュチュ,27.7,27+,1074,Master,123,
Pikkoon!!,ピッコーン！！,27.7,27+,1056,Master,790,
Melty Land Nightmare,メルティランドナイトメア,27.7,27+,959,Master,70,
Because You're Here,愛されなくても君がいる,27.7,27+,1075,Master,108,
Shinkai Shoujo,深海少女,27.7,27+,994,Master,258,
TSUGAIKOGARASHI,番凩,27.7,27+,892,Master,403,
Aoku Kakero!,青く駆けろ！,27.7,27+,1048,Master,93,
ARQETYPE,ARQETYPE,27.7,27+,827,Expert,406,
CIRCUS PANIC!!!,CIRCUS PANIC!!!,27.7,27+,1083,Expert,408,
We Are Pico Pico Hammers!!!!!,ウィーアーピコピコハンマーズ!!!!,27.7,27+,1125,Expert,688,
Odoryanse,おどりゃんせ,27.7,27+,1100,Expert,559,
Kyu-kurarin,きゅうくらりん,27.7,27+,1141,Expert,361,
Soudatta!!,そうだった！！,27.7,27+,1175,Expert,165,
Theme of Niccori Survey Team,にっこり^^調査隊のテーマ,27.7,27+,1026,Expert,178,
Rule Book,ルルブ,27.7,27+,1143,Expert,587,
syndrome,心泥夢(syndrome),27.7,27+,1221,Expert,444,
"1, 2, FanClub",いーあるふぁんくらぶ,27.7,APD 26,1015,Append,174,
alive,alive,27.6,27+,1016,Master,82,
blender,blender,27.6,27+,781,Master,404,
Connecting,Connecting,27.6,27+,792,Master,619,
Kirapipi☆Kirapika,キラピピ★キラピカ,27.6,27+,909,Master,386,
Black★Rock Shooter,ブラック★ロックシューター,27.6,27+,930,Master,238,
Float Planner,フロート・プランナー,27.6,27+,832,Master,295,
